t,Date,mean_abs_beta,mean_diag_cov,mean_diag_P,min_cov_eig,min_P_eig
610,2023-11-08,0.22540118846055884,1.2145100526005213,0.0020053436634213328,0.13034517757260974,0.00039790043879510455
611,2023-11-09,0.22119007863479118,1.2317539354131855,0.0019623262716499928,0.12676893338608158,0.0004762607226508716
612,2023-11-13,0.21609979436982796,1.2137649634123329,0.002021275375411897,0.1239854193215562,0.00038125751123708985
613,2023-11-14,0.2420973771626858,1.3128254136754536,0.0019483179981482867,0.12025051677366386,0.0004834446731919607
614,2023-11-15,0.23842322533898413,1.2978996898196948,0.0019524501779270436,0.12787144683228338,0.00021157661538924208
615,2023-11-16,0.23228222301576432,1.3407480092041375,0.0019326242383581153,0.12604656474375645,0.00031216951524398956
616,2023-11-20,0.23003067357169144,1.3867078133222774,0.0019343104626375399,0.12251040057755234,0.000387078396383255
617,2023-11-21,0.21487229054596016,1.3546447665383508,0.0019802971314109028,0.13218514026030023,0.0004706066883892162
618,2023-11-22,0.1937973141732432,1.3284754602202478,0.0020278412341936986,0.13121582681420516,0.0005749529198773697
619,2023-11-27,0.19997541703243743,1.3029461268084095,0.0020943209172293027,0.14490122819291593,0.0006602147373226077
620,2023-11-28,0.1782592068476482,1.3475781995114458,0.002090130058169966,0.1376566574218536,0.0005703993637334282
621,2023-11-29,0.17495084472476638,1.3090420772345002,0.002136570538445178,0.13211413473916672,0.0005522252731269947
622,2023-11-30,0.1702772867409027,1.2962143950875484,0.002146989777666774,0.1256185055499246,0.0005569984300943495
623,2023-12-04,0.17883708647337795,1.2635902457925192,0.002159773966554628,0.12031462490228796,0.0005446970324230555
624,2023-12-05,0.16868347413798232,1.2384827955296303,0.0021608585057284638,0.11815129355966651,0.0005034473997516598
625,2023-12-06,0.1500408660988307,1.2474763356052567,0.002171287852720741,0.11979965678710863,0.000601661315697935
626,2023-12-07,0.1538556294956099,1.2163498013362213,0.0021772928700181634,0.12139243871046729,0.0006154475204651835
627,2023-12-11,0.16671272190449257,1.2272192048055521,0.0022084026235463087,0.11544924364727208,0.0006557452921509867
628,2023-12-12,0.16270651945255582,1.1845275155074295,0.002197525092272825,0.11203515817189395,0.0005244938696786652
629,2023-12-13,0.18275659944884853,1.2067215480076323,0.0022436180185112418,0.10716352062870117,0.0006281348902967806
630,2023-12-14,0.1936160006508161,1.2045364959313962,0.0022542269908735553,0.10256328633342766,0.00041160292113828767
631,2023-12-18,0.19867450515035417,1.2001693921684022,0.0022919584750627866,0.10048979845579592,0.0002584439103221831
632,2023-12-19,0.2024280177092962,1.1686161354082345,0.0023485242983220934,0.09551278876961648,0.00035668640802890894
633,2023-12-20,0.20508869951022649,1.1291655044331381,0.002416138565962943,0.09107425702817834,0.00040425451848738426
634,2023-12-21,0.20571934776336986,1.077979904455629,0.002364358881210284,0.08723993217634839,0.000506879773429448
635,2023-12-26,0.2011980464191623,1.053768542298628,0.0024193908483250617,0.08746808359705897,0.0005919521563945819
636,2023-12-27,0.1886935474359646,1.064704744521325,0.0024245803421060383,0.08982184402845404,0.0006407244947647831
637,2023-12-28,0.18204276239165113,1.0807422048303765,0.002430663224931877,0.08774492913152833,0.0005585947001915003
638,2024-01-02,0.19298244846298224,1.0414254677781496,0.002460962004040298,0.09385648677173064,0.0006152049512791668
639,2024-01-03,0.1925808982936519,1.0472484305563263,0.0024861326608682493,0.08923870648081145,0.0005510265935865968
640,2024-01-04,0.1776424912620089,1.049570473224829,0.0024977768795524566,0.08670150416591062,0.0005382643892070524
641,2024-01-08,0.17329437015401652,1.045483842460344,0.0024971146502572364,0.08244013815175018,0.0006430945047733841
642,2024-01-09,0.1819629442471246,1.02763890638404,0.0025023616832141834,0.08330314986742969,0.0006602810203466173
643,2024-01-10,0.16439123388211696,0.9984255471313611,0.002461346601498008,0.08106140066136532,0.0006518098411909406
644,2024-01-11,0.16550781412532123,0.9583196729902836,0.0025475629300512276,0.07787063512179097,0.0007482266332362563
645,2024-01-16,0.23065953949036094,2.1432057133328586,0.0026175368663350716,0.0761229169480237,0.0008373438308220525
646,2024-01-17,0.21286226912335515,3.280977401208812,0.002483941912828861,0.07234276241238599,4.546627176057293e-05
647,2024-01-18,0.21104273797141407,3.141345100914493,0.0024694441584028923,0.07109760915346905,0.00014110644964682642
648,2024-01-22,0.218283351989602,3.0235305454145385,0.002503888830045791,0.0681671104199157,0.00024254120570648137
649,2024-01-23,0.21508561727484038,2.8914076311988666,0.0025296371974138625,0.06759146981986816,0.0003195404446361044
