Date,Horizon,Response
2024-04-10,6,0.318784175683858
2024-04-10,7,0.1398294125326996
2024-04-10,8,-0.17166963557843404
2024-04-10,9,0.04514336614498793
2024-04-10,10,0.11913689954304613
2024-04-10,11,1.2564449805942326
2024-04-10,12,0.5086726045364659
2024-04-10,13,0.1344829285215457
2024-04-10,14,0.7189035556945081
2024-04-10,15,-0.002648732596778558
2024-04-10,16,-0.1475056086352773
2024-04-10,17,-0.005933085037465591
2024-04-10,18,0.3695258850338451
2024-04-10,19,0.3176279622005421
2024-04-10,20,1.0618841690490415
2024-04-30,0,1.1373080810511866
2024-04-30,1,0.3895357049934198
2024-04-30,2,0.01534602897849957
2024-04-30,3,0.5997666561514621
2024-04-30,4,-0.12178563213982468
2024-04-30,5,-0.26664250817832347
2024-04-30,6,-0.12506998458051172
2024-04-30,7,0.25038898549079897
2024-04-30,8,0.198491062657496
2024-04-30,9,0.9427472695059953
2024-04-30,10,0.08397996607816105
2024-04-30,11,0.27114973636866607
2024-04-30,12,0.6430951953291535
2024-04-30,13,0.17742524464139292
2024-04-30,14,-0.06518425991292887
2024-04-30,15,0.11930718086901898
2024-04-30,16,0.2677669282480561
2024-04-30,17,0.6100667734305418
2024-04-30,18,-0.0607694632089924
2024-04-30,19,-0.17850983475337273
2024-04-30,20,0.09912583993891427
2024-08-05,0,1.5560155247836978
2024-08-05,1,1.2301328382418837
2024-08-05,2,0.6267474223894457
2024-08-05,3,-0.2601518240718337
2024-08-05,4,-0.4090819722723151
2024-08-05,5,-0.4447894743967241
2024-08-05,6,-0.2898394485335193
2024-08-05,7,-0.39146032400455344
2024-08-05,8,-0.363459316078226
2024-08-05,9,-0.47648811149493886
2024-08-05,10,-0.5338463478125128
2024-08-05,11,-0.4829065807369903
2024-08-05,12,-0.39272327093364884
2024-08-05,13,-0.5401958810885605
2024-08-05,14,-0.4010110538996042
2024-08-05,15,-0.4808890321479919
2024-08-05,16,0.04016405198358697
2024-08-05,17,0.3043038598927911
2024-08-05,18,-0.5594391226519784
2024-08-05,19,-0.28505594819939184
2024-08-05,20,-0.4766831858622973
2024-08-06,0,-0.32588268654181407
2024-08-06,1,-0.929268102394252
2024-08-06,2,-1.8161673488555312
2024-08-06,3,-1.9650974970560127
2024-08-06,4,-2.0008049991804215
2024-08-06,5,-1.845854973317217
2024-08-06,6,-1.947475848788251
2024-08-06,7,-1.9194748408619238
