t,TCI,diag_mean,offdiag_mean,diag_minus_offdiag,row_err,net_abs_mean
174,61.021143705954906,0.3897885629404511,0.06780127078439434,0.32198729215605676,2.220446049250313e-16,0.19452033932964624
175,63.27402759316531,0.36725972406834706,0.070304475103517,0.29695524896483005,2.220446049250313e-16,0.23600894655092905
176,63.75838537028392,0.3624161462971608,0.07084265041142658,0.2915734958857342,2.220446049250313e-16,0.2405524930298808
177,58.193275184198455,0.41806724815801566,0.0646591946491094,0.35340805350890625,2.220446049250313e-16,0.15989433672397602
178,59.90403572290886,0.40095964277091145,0.06656003969212095,0.3343996030787905,1.1102230246251565e-16,0.1821889434340595
179,57.991047712647244,0.4200895228735275,0.06443449745849694,0.3556550254150306,2.220446049250313e-16,0.16033049326382925
180,59.260808409617205,0.4073919159038278,0.06584534267735245,0.3415465732264753,3.3306690738754696e-16,0.17740729273451253
181,58.8105391333295,0.41189460866670513,0.06534504348147722,0.3465495651852279,2.220446049250313e-16,0.16398423245948512
182,61.26992646943912,0.38730073530560893,0.06807769607715457,0.31922303922845435,2.220446049250313e-16,0.19750248908560367
183,62.782280057428885,0.37217719942571115,0.06975808895269876,0.3024191104730124,2.220446049250313e-16,0.12750259714570295
184,62.20268460571492,0.37797315394285064,0.06911409400634991,0.30885905993650076,2.220446049250313e-16,0.19342521337689816
185,60.97197871117991,0.39028021288820075,0.06774664301242211,0.32253356987577864,1.1102230246251565e-16,0.1623314612131154
186,63.1114464372815,0.36888553562718474,0.07012382937475722,0.2987617062524275,2.220446049250313e-16,0.17185618717447557
187,68.3851678364517,0.3161483216354829,0.07598351981827967,0.24016480181720323,2.220446049250313e-16,0.22296232087806717
188,61.116844400348945,0.38883155599651087,0.06790760488927661,0.32092395110723426,2.220446049250313e-16,0.17981417885166529
189,60.00282263531462,0.3999717736468538,0.06666980292812735,0.33330197071872647,2.220446049250313e-16,0.2084278881318368
190,60.077588734733745,0.39922411265266233,0.06675287637192638,0.33247123628073594,1.1102230246251565e-16,0.16208204307487745
191,57.23675093761098,0.42763249062389014,0.06359638993067887,0.36403610069321124,1.1102230246251565e-16,0.16487447729792132
192,55.09796929851982,0.44902030701480156,0.06121996588724425,0.3878003411275573,2.220446049250313e-16,0.09677064982453881
193,54.95731077826982,0.45042689221730187,0.06106367864252202,0.3893632135747799,2.220446049250313e-16,0.17018305572555076
194,53.911854020769724,0.4608814597923027,0.05990206002307748,0.40097939976922525,2.220446049250313e-16,0.14185477377521033
195,54.64396687278127,0.4535603312721873,0.06071551874753474,0.3928448125246526,2.220446049250313e-16,0.15434146088086276
196,53.75840015758446,0.46241599842415554,0.0597315557306494,0.4026844426935061,2.220446049250313e-16,0.17154410442241547
197,53.42469099155134,0.46575309008448673,0.05936076776839038,0.40639232231609634,2.220446049250313e-16,0.14362246008492413
198,58.86855188160386,0.4113144811839614,0.06540950209067095,0.34590497909329043,2.220446049250313e-16,0.2196900599655371
199,56.609968141062936,0.43390031858937056,0.06289996460118105,0.37100035398818954,2.220446049250313e-16,0.17860412672303105
200,52.451861431861026,0.47548138568138976,0.05827984603540114,0.4172015396459886,2.220446049250313e-16,0.15513536530700725
201,53.95707500811993,0.4604292499188006,0.059952305564577694,0.4004769443542229,2.220446049250313e-16,0.13493328898952953
202,51.924006617614424,0.4807599338238558,0.05769334068623825,0.4230665931376175,2.220446049250313e-16,0.11995180400513947
203,53.077697868408016,0.46922302131591975,0.058975219853786676,0.4102478014621331,2.220446049250313e-16,0.11145128259461937
204,63.763689939597576,0.3623631006040242,0.07084854437733065,0.29151455622669353,1.1102230246251565e-16,0.27264890508319184
205,56.65039482886479,0.4334960517113521,0.06294488314318311,0.37055116856816894,2.220446049250313e-16,0.11846458065509666
206,56.1665213510976,0.438334786489024,0.062407245945664,0.37592754054336003,2.220446049250313e-16,0.1307043436649867
207,57.693948201122204,0.423060517988778,0.06410438689013578,0.3589561310986422,2.220446049250313e-16,0.1372389266305094
208,57.53000725541884,0.42469992744581164,0.0639222302837987,0.3607776971620129,1.1102230246251565e-16,0.13914385008884672
209,56.20414457277909,0.4379585542722091,0.0624490495253101,0.375509504746899,0.0,0.12266687393522087
210,56.10122250831452,0.4389877749168548,0.062334691675905024,0.3766530832409498,2.220446049250313e-16,0.2102889608586695
211,52.649146296564076,0.4735085370343592,0.058499051440626754,0.4150094855937324,2.220446049250313e-16,0.11953817338081237
212,52.722776411084894,0.4727722358891511,0.05858086267898321,0.4141913732101679,2.220446049250313e-16,0.12468762943657788
213,55.23342350558285,0.44766576494417176,0.06137047056175871,0.38629529438241306,2.220446049250313e-16,0.17304653620799162
214,56.52093697467887,0.4347906302532115,0.06280104108297652,0.371989589170235,2.220446049250313e-16,0.23243528921993512
215,53.69979503267105,0.4630020496732893,0.05966643892519006,0.4033356107480992,2.220446049250313e-16,0.1991578560888405
216,54.62396075811379,0.4537603924188621,0.06069328973123754,0.39306710268762457,2.220446049250313e-16,0.20175631498949637
217,53.9877560537284,0.460122439462716,0.05998639561525377,0.40013604384746226,2.220446049250313e-16,0.1992788824104543
218,53.47603238809666,0.46523967611903316,0.05941781376455185,0.4058218623544813,2.220446049250313e-16,0.19997493352952983
219,76.3815443395223,0.23618455660477689,0.08486838259946923,0.15131617400530767,2.220446049250313e-16,0.7377694673558981
220,65.2908970466916,0.34709102953308413,0.07254544116299066,0.27454558837009346,2.220446049250313e-16,0.27149187070790476
221,69.12604564626645,0.30873954353733557,0.07680671738474051,0.23193282615259506,2.220446049250313e-16,0.23091074853798416
222,62.964728583014676,0.3703527141698534,0.06996080953668297,0.3003919046331704,2.220446049250313e-16,0.27882917649483974
223,62.13948635783547,0.3786051364216451,0.0690438737309283,0.3095612626907168,2.220446049250313e-16,0.2727594284181306
224,62.31107605624715,0.3768892394375287,0.06923452895138572,0.307654710486143,2.220446049250313e-16,0.2912627058686022
225,63.42953328158292,0.36570466718417105,0.07047725920175879,0.29522740798241226,2.220446049250313e-16,0.31948560110206686
226,62.741947918619125,0.3725805208138086,0.06971327546513237,0.30286724534867626,2.220446049250313e-16,0.3203928509496109
227,61.6493545941184,0.383506454058816,0.06849928288235378,0.3150071711764622,2.220446049250313e-16,0.2862300085877082
228,61.797285518966305,0.3820271448103371,0.06866365057662922,0.3133634942337079,2.220446049250313e-16,0.26962001713531153
229,61.40468763874036,0.3859531236125963,0.06822743070971152,0.31772569290288477,2.220446049250313e-16,0.2940631068680902
230,61.200159196932155,0.38799840803067837,0.06800017688548018,0.3199982311451982,2.220446049250313e-16,0.1824880285236541
231,56.8677694343039,0.4313223056569611,0.0631864104825599,0.3681358951744012,2.220446049250313e-16,0.14644826501838193
232,55.89750175652597,0.4410249824347403,0.062108335285028855,0.37891664714971146,2.220446049250313e-16,0.15624116064148175
233,55.16967479248677,0.44830325207513233,0.061299638658318625,0.3870036134168137,1.1102230246251565e-16,0.14463367946883335
234,57.315717520719176,0.42684282479280816,0.06368413057857687,0.3631586942142313,2.220446049250313e-16,0.2039108480817291
235,60.446069541590134,0.3955393045840986,0.0671622994906557,0.32837700509344286,2.220446049250313e-16,0.24041656423831922
236,61.56196728564278,0.38438032714357206,0.06840218587293644,0.3159781412706356,1.1102230246251565e-16,0.2595207068463135
237,60.041081206008826,0.3995891879399117,0.06671231245112091,0.3328768754887908,2.220446049250313e-16,0.2487556051289034
238,57.677754968415115,0.42322245031584876,0.06408639440935014,0.3591360559064986,2.220446049250313e-16,0.19547242363282802
239,56.62832523357415,0.4337167476642585,0.06292036137063794,0.37079638629362055,3.3306690738754696e-16,0.181412671752887
240,56.76293602238983,0.43237063977610185,0.06306992891376648,0.3693007108623354,2.220446049250313e-16,0.1717678568625424
