Date,Close,,,,,
2023-02-13,21.942,,,,,
2023-02-09,22.241,,,,,
2023-02-08,22.52,,,,,
2023-02-07,22.277,,,,,
2023-02-06,22.337,,,,,
2023-02-02,23.715,,,,,
2023-02-01,23.703,,,,,
2023-01-31,23.93,,,,,
2023-01-30,23.821,,,,,
2023-01-26,24.02,,,,,
2023-01-25,23.941,,,,,
2023-01-24,23.749,,,,,
2023-01-23,23.554,,,,,
2023-01-19,23.87,,,,,
2023-01-18,23.647,,,,,
2023-01-17,24.068,,,,,
2023-01-15,24.415,,,,,
2023-01-12,24.004,,,,,
2023-01-11,23.481,,,,,
2023-01-10,23.665,,,,,
2023-01-09,23.871,,,,,
2023-01-05,23.424,,,,,
2023-01-04,23.964,,,,,
2023-01-03,24.236,,,,,
2023-01-02,24.328,,,,,
2022-12-29,24.25,,,,,
2022-12-28,23.756,,,,,
2022-12-27,24.142,,,,,
2022-12-26,24.055,,,,,
2022-12-22,23.561,,,,,
2022-12-21,24.121,,,,,
2022-12-20,24.183,,,,,
2022-12-19,23.117,,,,,
2022-12-15,23.229,,,,,
2022-12-14,24.049,,,,,
2022-12-13,23.909,,,,,
2022-12-12,23.314,,,,,
2022-12-08,23.157,,,,,
2022-12-07,22.837,,,,,
2022-12-06,22.256,,,,,
2022-12-05,22.324,,,,,
2022-12-01,22.786,,,,,
2022-11-30,21.727,,,,,
2022-11-29,21.392,,,,,
2022-11-28,21.002,,,,,
2022-11-23,21.436,,,,,
2022-11-22,21.13,,,,,
2022-11-21,20.952,,,,,
2022-11-17,21.054,,,,,
2022-11-16,21.604,,,,,
2022-11-15,21.593,,,,,
2022-11-14,22.178,,,,,
2022-11-10,21.772,,,,,
2022-11-09,21.381,,,,,
2022-11-08,21.567,,,,,
2022-11-07,20.981,,,,,
2022-11-03,19.485,,,,,
2022-11-02,19.654,,,,,
2022-11-01,19.728,,,,,
2022-10-31,19.184,,,,,
2022-10-27,19.494,,,,,
2022-10-26,19.486,,,,,
2022-10-25,19.349,,,,,
2022-10-24,19.189,,,,,
2022-10-20,18.689,,,,,
2022-10-19,18.359,,,,,
2022-10-18,18.6,,,,,
2022-10-17,18.719,,,,,
2022-10-13,18.918,,,,,
2022-10-12,18.938,,,,,
2022-10-11,19.487,,,,,
2022-10-10,19.615,,,,,
2022-10-06,20.66,,,,,
2022-10-05,20.544,,,,,
2022-10-04,21.099,,,,,
2022-10-03,20.589,,,,,
2022-09-29,18.712,,,,,
2022-09-28,18.841,,,,,
2022-09-27,18.302,,,,,
2022-09-26,18.453,,,,,
2022-09-22,19.587,,,,,
2022-09-21,19.447,,,,,
2022-09-20,19.146,,,,,
2022-09-19,19.319,,,,,
2022-09-15,19.227,,,,,
2022-09-14,19.525,,,,,
2022-09-13,19.449,,,,,
2022-09-12,19.816,,,,,
2022-09-08,18.402,,,,,
2022-09-07,18.22,,,,,
2022-09-06,17.868,,,,,
2022-09-01,17.632,,,,,
2022-08-31,17.849,,,,,
2022-08-30,18.244,,,,,
2022-08-29,18.602,,,,,
2022-08-25,19.147,,,,,
2022-08-24,18.942,,,,,
2022-08-23,19.064,,,,,
2022-08-22,18.918,,,,,
2022-08-18,19.508,,,,,
2022-08-17,19.776,,,,,
2022-08-16,20.128,,,,,
2022-08-15,20.317,,,,,
2022-08-11,20.394,,,,,
2022-08-10,20.79,,,,,
2022-08-09,20.531,,,,,
2022-08-08,20.664,,,,,
2022-08-04,20.173,,,,,
2022-08-03,19.947,,,,,
2022-08-02,20.189,,,,,
2022-08-01,20.412,,,,,
2022-07-28,19.918,,,,,
2022-07-27,18.6,,,,,
2022-07-26,18.535,,,,,
2022-07-25,18.328,,,,,
2022-07-21,18.719,,,,,
2022-07-20,18.668,,,,,
2022-07-19,18.713,,,,,
2022-07-18,18.84,,,,,
2022-07-14,18.225,,,,,
2022-07-13,19.194,,,,,
2022-07-12,18.958,,,,,
2022-07-11,19.132,,,,,
2022-07-07,19.188,,,,,
2022-07-06,19.159,,,,,
2022-07-05,19.121,,,,,
2022-06-30,20.352,,,,,
2022-06-29,20.738,,,,,
2022-06-28,20.839,,,,,
2022-06-27,21.178,,,,,
2022-06-23,21.056,,,,,
2022-06-22,21.465,,,,,
2022-06-21,21.813,,,,,
2022-06-16,21.928,,,,,
2022-06-15,21.463,,,,,
2022-06-14,21,,,,,
2022-06-13,21.305,,,,,
2022-06-09,21.864,,,,,
2022-06-08,22.148,,,,,
2022-06-07,22.233,,,,,
2022-06-06,22.147,,,,,
2022-06-02,22.33,,,,,
2022-06-01,21.962,,,,,
2022-05-31,21.737,,,,,
2022-05-26,21.965,,,,,
2022-05-25,21.87,,,,,
2022-05-24,22.063,,,,,
2022-05-23,21.723,,,,,
2022-05-19,21.908,,,,,
2022-05-18,21.544,,,,,
2022-05-17,21.75,,,,,
2022-05-16,21.551,,,,,
2022-05-12,20.773,,,,,
2022-05-11,21.575,,,,,
2022-05-10,21.424,,,,,
2022-05-09,21.82,,,,,
2022-05-05,22.443,,,,,
2022-05-04,22.402,,,,,
2022-05-03,22.665,,,,,
2022-05-02,22.584,,,,,
2022-04-28,23.181,,,,,
2022-04-27,23.483,,,,,
2022-04-26,23.572,,,,,
2022-04-25,23.698,,,,,
2022-04-21,24.657,,,,,
2022-04-20,25.303,,,,,
2022-04-19,25.426,,,,,
2022-04-18,26.181,,,,,
2022-04-13,26.06,,,,,
2022-04-12,25.769,,,,,
2022-04-11,25.022,,,,,
2022-04-07,24.785,,,,,
2022-04-06,24.509,,,,,
2022-04-05,24.588,,,,,
2022-04-04,24.636,,,,,
2022-03-31,25.158,,,,,
2022-03-30,25.146,,,,,
2022-03-29,24.736,,,,,
2022-03-28,25.196,,,,,
2022-03-24,25.92,,,,,
2022-03-23,25.189,,,,,
2022-03-22,24.904,,,,,
2022-03-21,25.313,,,,,
2022-03-17,25.616,,,,,
2022-03-16,24.71,,,,,
2022-03-15,25.158,,,,,
2022-03-14,25.298,,,,,
2022-03-10,26.256,,,,,
2022-03-09,25.816,,,,,
2022-03-08,26.895,,,,,
2022-03-07,25.72,,,,,
2022-03-03,25.212,,,,,
2022-03-02,25.19,,,,,
