Date,SOLVPN,log_price,log_price_hat,price_hat
2022-06-02,1028.72,6.936070589962184,6.908383866770091,1000.6287853906589
2022-06-03,1018.33,6.925919309609807,6.907628238579885,999.8729676670378
2022-06-06,1025.24,6.932682010505996,6.906869628846397,999.1147419365863
2022-06-07,1029.81,6.937129598188315,6.9061080702213244,998.3541471429505
2022-06-08,1024.43,6.931891639331937,6.905343595590523,997.5912223803731
2022-06-09,1005.62,6.913359545701969,6.904576238073994,996.8260068919336
2022-06-10,982.34,6.889937480609163,6.903806031025898,996.0585400678181
2022-06-13,940.97,6.846911258099487,6.903033008034515,995.2888614435466
2022-06-14,928.87,6.833968793607541,6.902257202922228,994.5170106982264
2022-06-15,945.88,6.852115711111458,6.901478649745476,993.7430276527884
2022-06-16,920.01,6.82438453954923,6.900697382794702,992.9669522682204
2022-06-17,930.68,6.835915501759092,6.899913436594288,992.1888246438015
2022-06-20,931.29,6.836570721791449,6.899126845902481,991.4086850153318
2022-06-21,953.39,6.860024053938709,6.898337645711307,990.6265737533588
2022-06-22,966.02,6.873184537931942,6.897545871246471,989.842531361405
2022-06-23,985.43,6.893078094135986,6.896751557967244,989.0565984741885
2022-06-24,1001.72,6.909473801476102,6.895954741566344,988.2688158558426
2022-06-27,1001.48,6.909234184861536,6.895155457969806,987.4792243981451
2022-06-28,981.41,6.888990313129058,6.894353743336822,986.6878651187216
2022-06-29,963.49,6.870562108973368,6.893549634059596,985.8947791592757
2022-06-30,970.08,6.877378542323421,6.892743166763166,985.1000077837999
2022-07-01,979.42,6.8869605597254315,6.891934378305227,984.303592376797
2022-07-04,980.09,6.887644404182577,6.891123305775921,983.5055744414831
2022-07-05,974.42,6.881842422196549,6.8903099864976465,982.705995598019
2022-07-06,973.7,6.8811032479847105,6.889494458024823,981.9048975817157
2022-07-07,980.37,6.8879300514305735,6.8886767581436645,981.1023222412531
2022-07-08,973.92,6.8813291647456145,6.887856924871929,980.2983115368985
2022-07-11,965.67,6.872822160942021,6.887034996458659,979.4929075387229
2022-07-12,955.26,6.861983554735969,6.886211011383906,978.6861524248167
2022-07-13,956.12,6.862883428186599,6.885385008358449,977.8780884795173
2022-07-14,950.39,6.856872426667503,6.884557026323486,977.068758091619
2022-07-15,959.32,6.866224700141965,6.883727104450325,976.2582037526086
2022-07-18,952.93,6.859541448700419,6.882895282140059,975.4464680548839
2022-07-19,976.03,6.883493323645617,6.882061599023215,974.6335936899793
2022-07-20,970.15,6.877450698717282,6.881226094959408,973.819623446802
2022-07-21,981.99,6.889581125003227,6.88038881003697,973.0046002098633
2022-07-22,984.39,6.892022159993138,6.879549784572556,972.1885669575063
2022-07-25,980.76,6.888327781316039,6.878709059110761,971.371566760156
2022-07-26,981.58,6.889163518291006,6.8778666744237,970.5536427785565
2022-07-27,989.17,6.8968662076499685,6.87702267151058,969.7348382620163
2022-07-28,1022.75,6.930250356809508,6.876177091597261,968.9151965466588
2022-07-29,1019.41,6.926979307549802,6.875329976135795,968.0947610536732
2022-08-01,1013.04,6.920710990142353,6.874481366803964,967.2735752875793
2022-08-02,1010.23,6.917933306682688,6.873631305504787,966.4516828344858
2022-08-03,1019.08,6.926655538482618,6.872779834366018,965.6291273603563
2022-08-04,1024.77,6.932223476149349,6.871926995739631,964.8059526092853
2022-08-05,1021.41,6.928939304649267,6.87107283220129,963.9822024017714
2022-08-08,1022.47,6.929976547633234,6.870217386549798,963.1579206330048
2022-08-09,1015.78,6.923412069258174,6.869360701806538,962.333151271155
2022-08-10,1027.52,6.934903410901149,6.868502821214887,961.5079383556595
2022-08-11,1022.2,6.929712446334179,6.867643788239629,960.6823259955321
2022-08-12,1035.91,6.943035546458914,6.866783646566341,959.8563583676643
2022-08-15,1046.96,6.953646005747225,6.865922440100763,959.0300797151407
2022-08-16,1041.68,6.948590073420473,6.865060212968161,958.2035343455575
2022-08-17,1032.07,6.939321773198559,6.864197009512661,957.3767666293494
2022-08-18,1029.96,6.937275245518129,6.86333287429658,956.5498209981268
2022-08-19,1018.5,6.926086235666861,6.862467852099725,955.722741943009
2022-08-22,994.94,6.9026824338328465,6.8616019879186885,954.8955740129787
2022-08-23,984.3,6.891930728635166,6.8607353269661235,954.0683618132379
2022-08-24,987.48,6.895156243405622,6.8598679146699935,953.2411500035664
2022-08-25,1008.64,6.916358167789405,6.858999796672823,952.413983296705
2022-08-26,984.32,6.8919510474371695,6.858131018830905,951.5869064567219
2022-08-29,968.03,6.87526307853188,6.85726162721352,950.7599642974118
2022-08-30,954.35,6.861030480475901,6.856391668102112,949.9332016806883
2022-08-31,956.86,6.863657090260339,6.8555211879894635,949.1066635149901
2022-09-01,949.32,6.855745938821306,6.854650233578851,948.2803947537022
2022-09-02,930.85,6.836098147217906,6.853778851783167,947.4544403935693
2022-09-05,927.87,6.832891636766315,6.852907089724047,946.6288454731389
2022-09-06,925.31,6.830128816502325,6.8520349947309604,945.8036550711994
2022-09-07,937.3,6.84300340175244,6.851162614340296,944.9789143052383
2022-09-08,941.6,6.847580555946067,6.850289996294415,944.1546683298969
2022-09-09,953.39,6.860024053938709,6.849417188540695,943.3309623354481
2022-09-12,964.72,6.871837903795337,6.848544239230561,942.507841546283
2022-09-13,928.68,6.833764223070368,6.847671196718476,941.6853512193924
2022-09-14,920.92,6.825373170376169,6.846798109560945,940.8635366428881
2022-09-15,907.0,6.810142450115136,6.8459250265154585,940.0424431344975
2022-09-16,903.23,6.80597722751856,6.8450519965394605,939.2221160401056
2022-09-19,900.08,6.802483648262816,6.8441790687892645,938.4026007322827
2022-09-20,883.84,6.784276050780873,6.843306292618964,937.5839426088332
2022-09-21,874.6,6.77376663897882,6.842433717579322,936.7661870913561
2022-09-22,863.2,6.760646413943925,6.841561393416642,935.9493796238155
2022-09-23,845.62,6.740070086121171,6.840689370071607,935.133565671116
2022-09-26,824.31,6.714546672751116,6.839817697678124,934.3187907177075
2022-09-27,817.42,6.706153038655655,6.838946426562117,933.5051002661801
2022-09-28,822.48,6.712324166234463,6.838075607240325,932.6925398358867
2022-09-29,799.38,6.683836427200176,6.83720529041906,931.8811549615675
2022-09-30,803.54,6.689026966141337,6.836335526992969,931.0709911919997
2022-10-03,815.11,6.703323073458476,6.835466368043745,930.2620940886429
2022-10-04,834.92,6.727335911877706,6.834597864838843,929.4545092243126
2022-10-05,823.09,6.7130655507127175,6.833730068830155,928.648282181851
2022-10-06,798.27,6.6824468860884165,6.832863031652678,927.8434585528224
2022-10-07,771.09,6.647805098268246,6.831996805123164,927.0400839362247
2022-10-10,755.56,6.627459196163619,6.831131441238719,926.2382039371904
2022-10-11,749.76,6.61975315531943,6.830266992175426,925.4378641657327
2022-10-12,738.74,6.604946032249671,6.829403510286906,924.6391102354803
2022-10-13,750.32,6.6204997822006835,6.828541048102875,923.8419877624315
2022-10-14,735.77,6.600917569890576,6.8276796583276855,923.0465423637334
2022-10-17,760.73,6.6342784985859495,6.826819393838829,922.2528196564551
2022-10-18,770.98,6.647662432889649,6.825960307685427,921.4608652563891
2022-10-19,756.19,6.628292667354583,6.825102453086701,920.6707247768612
2022-10-20,752.24,6.623055421968822,6.824245883430412,919.8824438275523
2022-10-21,754.25,6.62572387803917,6.8233906522712795,919.0960680133327
2022-10-24,743.19,6.610951732080795,6.822536813329388,918.3116429331204
2022-10-25,768.95,6.645025947885933,6.821684420488558,917.529214178742
2022-10-26,771.51,6.648349633482012,6.82083352779469,916.7488273338038
2022-10-27,769.65,6.645935866056083,6.819984189454109,915.9705279725977
2022-10-28,781.73,6.661509412384205,6.81913645983186,915.1943616589984
2022-10-31,776.13,6.654320031925539,6.8182903934499866,914.420373945381
2022-11-01,778.02,6.656752230788848,6.817446044985802,913.6486103715662
2022-11-02,773.05,6.650343729548603,6.816603469270112,912.8791164637576
2022-11-03,776.15,6.654345800472452,6.815762721285433,912.1119377335106
2022-11-04,788.7,6.670386020403945,6.814923856164171,911.3471196767055
2022-11-07,792.99,6.675810611214858,6.814086929186789,910.5847077725366
2022-11-08,791.71,6.674195163144731,6.81325199577995,909.8247474825257
2022-11-09,784.29,6.664778849914207,6.812419111514616,909.0672842495278
2022-11-10,842.29,6.736124372996301,6.811588332104155,908.3123634967786
2022-11-14,850.05,6.745295171283738,6.810759713402387,907.5600306269273
2022-11-15,875.09,6.774326738211038,6.809933311401633,906.810331021107
2022-11-16,859.52,6.756374093894818,6.809109182230737,906.0633100380144
2022-11-17,854.55,6.7505750145945145,6.808287382153032,905.319013012985
2022-11-18,857.55,6.75407948637809,6.807467967564329,904.5774852571136
2022-11-21,856.93,6.753356234981717,6.806650994990836,903.838772056359
2022-11-22,858.74,6.755466198636152,6.805836521087083,903.1029186706874
2022-11-23,867.19,6.765258099253582,6.805024602633805,902.3699703332132
2022-11-24,868.85,6.767170498168263,6.804215296535793,901.639972249355
2022-11-25,873.96,6.7730346080178245,6.803408659819751,900.9129695960231
2022-11-28,853.79,6.74968526191046,6.802604749632085,900.189007520798
2022-11-29,861.82,6.759046432153113,6.801803623236691,899.4681311411326
2022-11-30,885.03,6.78562154273848,6.801005338012718,898.7503855435765
2022-12-01,885.75,6.786434743745581,6.800209951452292,898.0358157830011
2022-12-02,880.16,6.780103709127148,6.799417521158215,897.3244668818426
2022-12-05,873.91,6.772977395524888,6.798628104841651,896.6163838293628
2022-12-06,863.17,6.760611658937752,6.797841760319771,895.9116115809246
2022-12-07,856.42,6.752760910015934,6.7970585455133685,895.2101950572658
2022-12-08,863.62,6.761132857242337,6.796278518444467,894.5121791438098
2022-12-09,862.12,6.759394472111613,6.79550173723388,893.8176086899733
2022-12-12,866.45,6.764404404086254,6.794728260098752,893.126528508491
2022-12-13,887.64,6.788566255387777,6.793958145350071,892.4389833747521
2022-12-14,882.05,6.782248743742415,6.7931914513901575,891.7550180261625
2022-12-15,862.22,6.759510458518136,6.792428236710116,891.0746771614963
2022-12-16,846.81,6.741476348354894,6.79166855988727,890.3980054402867
2022-12-19,829.44,6.7207507742838,6.790912479582554,889.7250474822018
2022-12-20,825.59,6.716098282250842,6.790160054537902,889.0558478664699
2022-12-21,837.81,6.730791344464618,6.789411343573573,888.3904511312697
2022-12-22,832.28,6.724168922666381,6.7886664055854835,887.7289017731833
2022-12-23,834.52,6.726856709261673,6.787925299542484,887.0712442466181
2022-12-27,833.1,6.725153682980864,6.787188084483623,886.417522963272
2022-12-28,824.1,6.714291881769338,6.786454819515377,885.7677822915928
2022-12-29,842.18,6.73599376811743,6.785725563808848,885.1220665562557
2022-12-30,834.57,6.726916622148354,6.785000376596936,884.4804200376531
2023-01-03,849.49,6.744636169412329,6.784279317171489,883.8428869713972
2023-01-04,873.66,6.772691283950868,6.783562444880406,883.209511547827
2023-01-05,849.41,6.744541990826116,6.782849819124726,882.5803379115317
2023-01-06,866.33,6.764265898332273,6.782141499355678,881.955410160884
2023-01-09,872.67,6.7715574775041425,6.781437545071716,881.3347723475915
2023-01-10,877.95,6.77758964440534,6.780738015815505,880.7184684762443
2023-01-11,890.89,6.792220963059269,6.780042971170882,880.1065425038792
2023-01-12,905.04,6.807979141618211,6.779352470759801,879.4990383395603
2023-01-13,907.41,6.8105943876672645,6.778666574239234,878.895999843966
2023-01-16,908.61,6.811915959207948,6.777985341298045,878.2974708289806
2023-01-17,908.3,6.811574720508168,6.777308831653833,877.7034950572998
2023-01-18,891.53,6.792939087886755,6.7766371050497405,877.1141162420417
2023-01-19,882.83,6.783132656587237,6.775970221251254,876.5293780463816
2023-01-20,895.98,6.797918091297232,6.775308240042937,875.949324083172
2023-01-23,898.36,6.800570878835522,6.774651221225161,875.3739979145867
2023-01-24,900.82,6.803305459625633,6.773999224610794,874.8034430517724
2023-01-25,905.07,6.808012288775017,6.773352310021863,874.2377029545069
2023-01-26,918.47,6.822709242172937,6.772710537286178,873.676821030857
2023-01-27,920.85,6.825297156541615,6.7720739662339335,873.1208406368585
2023-01-30,910.81,6.814334313488117,6.771442656694269,872.569805076189
2023-01-31,922.93,6.827553391973575,6.770816668491813,872.0237575998622
2023-02-01,945.01,6.851195509448336,6.770196061443173,871.48274140591
2023-02-02,961.23,6.868213714361528,6.769580895353423,870.9467996390969
2023-02-03,938.35,6.844123013737281,6.768971230012527,870.4159753906077
2023-02-06,920.45,6.824862680892571,6.768367125191762,869.8903116977756
2023-02-07,924.55,6.829307132652995,6.76776864064008,869.3698515437823
2023-02-08,921.91,6.826447604909185,6.767175836080466,868.8546378573956
2023-02-09,915.69,6.81967787944687,6.766588771206239,868.344713512681
2023-02-10,906.89,6.810021163818686,6.766007505677339,867.8401213287423
2023-02-13,910.38,6.813862094765205,6.765432099116572,867.3409040694502
2023-02-14,904.75,6.807658662443852,6.764862611105828,866.8471044431835
2023-02-15,906.72,6.809833692421309,6.764299101182261,866.3587651025691
2023-02-16,901.76,6.80434840927026,6.763741628834438,865.8759286442221
2023-02-17,890.15,6.791389987850872,6.763190253498469,865.3986376085028
2023-02-20,890.67,6.791973988496394,6.762645034554078,864.9269344792543
2023-02-21,871.09,6.769745301020691,6.7621060313206645,864.4608616835594
2023-02-22,855.63,6.751838039707159,6.76157330305332,864.0004615914874
