horizon,response,shock,fevd
16,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
16,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
16,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
16,dlog_COPPER,dlog_COPPER,0.9376926548900603
16,dlog_COPPER,dlog_DXY,0.001371234678134283
16,dlog_COPPER,d_UST10Y,5.640748954542031e-05
16,dlog_COPPER,dlog_VIX,0.007203850594601418
16,dlog_DXY,dlog_SOLVPN,0.09784388088188838
16,dlog_DXY,dlog_COPPER,0.07030634510429273
16,dlog_DXY,dlog_DXY,0.8212946217834421
16,dlog_DXY,d_UST10Y,0.006938270109905237
16,dlog_DXY,dlog_VIX,0.0036168821204714662
16,d_UST10Y,dlog_SOLVPN,0.05287671576728272
16,d_UST10Y,dlog_COPPER,0.003068179594515546
16,d_UST10Y,dlog_DXY,0.0867547586391556
16,d_UST10Y,d_UST10Y,0.856810712730925
16,d_UST10Y,dlog_VIX,0.0004896332681210318
16,dlog_VIX,dlog_SOLVPN,0.28318822385737075
16,dlog_VIX,dlog_COPPER,0.015240152330127833
16,dlog_VIX,dlog_DXY,0.0029866838502600034
16,dlog_VIX,d_UST10Y,0.011607404210375217
16,dlog_VIX,dlog_VIX,0.6869775357518666
17,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
17,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
17,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
17,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
17,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
17,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
17,dlog_COPPER,dlog_COPPER,0.9376926548900603
17,dlog_COPPER,dlog_DXY,0.001371234678134283
17,dlog_COPPER,d_UST10Y,5.640748954542031e-05
17,dlog_COPPER,dlog_VIX,0.007203850594601418
17,dlog_DXY,dlog_SOLVPN,0.09784388088188838
17,dlog_DXY,dlog_COPPER,0.07030634510429273
17,dlog_DXY,dlog_DXY,0.8212946217834421
17,dlog_DXY,d_UST10Y,0.006938270109905237
17,dlog_DXY,dlog_VIX,0.0036168821204714662
17,d_UST10Y,dlog_SOLVPN,0.05287671576728272
17,d_UST10Y,dlog_COPPER,0.003068179594515546
17,d_UST10Y,dlog_DXY,0.0867547586391556
17,d_UST10Y,d_UST10Y,0.856810712730925
17,d_UST10Y,dlog_VIX,0.0004896332681210318
17,dlog_VIX,dlog_SOLVPN,0.28318822385737075
17,dlog_VIX,dlog_COPPER,0.015240152330127833
17,dlog_VIX,dlog_DXY,0.0029866838502600034
17,dlog_VIX,d_UST10Y,0.011607404210375217
17,dlog_VIX,dlog_VIX,0.6869775357518666
18,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
18,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
18,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
18,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
18,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
18,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
18,dlog_COPPER,dlog_COPPER,0.9376926548900603
18,dlog_COPPER,dlog_DXY,0.001371234678134283
18,dlog_COPPER,d_UST10Y,5.640748954542031e-05
18,dlog_COPPER,dlog_VIX,0.007203850594601418
18,dlog_DXY,dlog_SOLVPN,0.09784388088188838
18,dlog_DXY,dlog_COPPER,0.07030634510429273
18,dlog_DXY,dlog_DXY,0.8212946217834421
18,dlog_DXY,d_UST10Y,0.006938270109905237
18,dlog_DXY,dlog_VIX,0.0036168821204714662
18,d_UST10Y,dlog_SOLVPN,0.05287671576728272
18,d_UST10Y,dlog_COPPER,0.003068179594515546
18,d_UST10Y,dlog_DXY,0.0867547586391556
18,d_UST10Y,d_UST10Y,0.856810712730925
18,d_UST10Y,dlog_VIX,0.0004896332681210318
18,dlog_VIX,dlog_SOLVPN,0.28318822385737075
18,dlog_VIX,dlog_COPPER,0.015240152330127833
18,dlog_VIX,dlog_DXY,0.0029866838502600034
18,dlog_VIX,d_UST10Y,0.011607404210375217
18,dlog_VIX,dlog_VIX,0.6869775357518666
19,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
19,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
19,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
19,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
19,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
19,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
19,dlog_COPPER,dlog_COPPER,0.9376926548900603
19,dlog_COPPER,dlog_DXY,0.001371234678134283
19,dlog_COPPER,d_UST10Y,5.640748954542031e-05
19,dlog_COPPER,dlog_VIX,0.007203850594601418
19,dlog_DXY,dlog_SOLVPN,0.09784388088188838
19,dlog_DXY,dlog_COPPER,0.07030634510429273
19,dlog_DXY,dlog_DXY,0.8212946217834421
19,dlog_DXY,d_UST10Y,0.006938270109905237
19,dlog_DXY,dlog_VIX,0.0036168821204714662
19,d_UST10Y,dlog_SOLVPN,0.05287671576728272
19,d_UST10Y,dlog_COPPER,0.003068179594515546
19,d_UST10Y,dlog_DXY,0.0867547586391556
19,d_UST10Y,d_UST10Y,0.856810712730925
19,d_UST10Y,dlog_VIX,0.0004896332681210318
19,dlog_VIX,dlog_SOLVPN,0.28318822385737075
19,dlog_VIX,dlog_COPPER,0.015240152330127833
19,dlog_VIX,dlog_DXY,0.0029866838502600034
19,dlog_VIX,d_UST10Y,0.011607404210375217
19,dlog_VIX,dlog_VIX,0.6869775357518666
20,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
20,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
20,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
20,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
